2022-05-19 21:05:797 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 21:05:767 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 21:05:88 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 21:05:867 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 21:05:140 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 21:05:770 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 14:05:460 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 14:05:595 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (960c67c66bf1eedc153dec012a96e74d)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 14:05:325 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (960c67c66bf1eedc153dec012a96e74d)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 14:05:850 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 14:05:466 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 14:05:92 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[ChromeDriver: chrome on WINDOWS (0d796b5c2a6350f314a8c31fa29b83fb)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 14:05:696 INFO  HomePage :37 - Click on search car link : [[ChromeDriver: chrome on WINDOWS (0d796b5c2a6350f314a8c31fa29b83fb)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 14:05:114 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 14:05:559 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 14:05:604 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[FirefoxDriver: firefox on WINDOWS (48880e4d-9dbc-42fb-88bc-8be162e210ac)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 14:05:977 INFO  HomePage :37 - Click on search car link : [[FirefoxDriver: firefox on WINDOWS (48880e4d-9dbc-42fb-88bc-8be162e210ac)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 14:05:383 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[FirefoxDriver: firefox on WINDOWS (61196682-4868-4194-b3a5-c8e0e5efc2ee)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 14:05:725 INFO  HomePage :37 - Click on search car link : [[FirefoxDriver: firefox on WINDOWS (61196682-4868-4194-b3a5-c8e0e5efc2ee)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 14:05:835 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[FirefoxDriver: firefox on WINDOWS (ad4e0d6b-653e-4c34-8ce6-5ea75c33c504)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 14:05:543 INFO  HomePage :37 - Click on search car link : [[FirefoxDriver: firefox on WINDOWS (ad4e0d6b-653e-4c34-8ce6-5ea75c33c504)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 14:05:192 INFO  HomePage :33 - Mouse Hover to Buy+Sell tab :[[FirefoxDriver: firefox on WINDOWS (7cea31ed-d466-44eb-95cf-67101552c9fd)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 14:05:642 INFO  HomePage :37 - Click on search car link : [[FirefoxDriver: firefox on WINDOWS (7cea31ed-d466-44eb-95cf-67101552c9fd)] -> xpath: //a[contains(text(),'Search Cars')]]
